kernel_name,source,category,complexity,class,implemented,verified,notes
k_matmul,llamatov,BLAS-L3,high,matmul,yes,yes,Basic GEMM F32
k_matmul_opt,llamatov,BLAS-L3,high,matmul,yes,yes,Tiled shared-memory GEMM
k_vecmat,llamatov,BLAS-L2,medium,matmul,yes,yes,M=1 decode vecmat (cuBLAS-parity)
k_dp4a,llamatov,BLAS-L2,high,matmul,yes,yes,INT8 dp4a vecmat (BEATS cuBLAS 1.12-1.87x)
k_relu,llamatov,elementwise,trivial,activation,yes,yes,ReLU activation
k_silu,llamatov,elementwise,trivial,activation,yes,yes,SiLU/swish activation
k_gelu_tanh,llamatov,elementwise,trivial,activation,yes,yes,GELU tanh approximation (ggml_gelu / Ollama runtime / HF gelu_new); cell [2]+[3] verified on Tesla P4 across 6 sizes; cross-axis max ULP 7-188
k_gelu_erf,llamatov,elementwise,trivial,activation,yes,yes,GELU exact erf form (ggml_gelu_erf / F.gelu(none) / HF gelu default); cell [2]+[3] verified on Tesla P4 across 6 sizes; cross-axis max ULP 374-8050
k_tanh,llamatov,elementwise,trivial,activation,yes,yes,Tanh activation
k_sigmoid,llamatov_bpd,elementwise,trivial,activation,yes,yes,Sigmoid (BPD-emitted); cell [2]+[3] verified on Tesla P4 across 6 sizes; cross-axis --ulp 2 MATCH
k_add,llamatov,elementwise,trivial,arithmetic,yes,yes,Element-wise addition
k_mul,llamatov,elementwise,trivial,arithmetic,yes,yes,Element-wise multiplication
k_scale,llamatov,elementwise,trivial,arithmetic,yes,yes,Scalar multiplication
k_rms_norm,llamatov,normalization,medium,normalization,yes,yes,RMS normalization (matches CPU to 3e-6)
k_layer_norm,llamatov,normalization,medium,normalization,yes,yes,Layer normalization with bias
k_softmax,llamatov,reduction,medium,reduction,yes,yes,Row-wise softmax
k_argmax,llamatov,reduction,low,reduction,yes,yes,Argmax over logits
k_embed_lookup,llamatov,gather,low,embedding,yes,yes,Token embedding table lookup
k_rope,llamatov,spatial,medium,positional,yes,yes,Rotary position embedding (Q+K)
k_rope_k,llamatov,spatial,medium,positional,yes,yes,RoPE for K heads separately
k_causal_mask,llamatov,spatial,low,attention,yes,yes,Upper-triangular causal mask
k_kv_attention,llamatov,attention,high,attention,yes,yes,Single-token decode attention with KV cache
k_kv_store,llamatov,memory,low,kv_cache,yes,yes,Append K/V to cache at position
k_gqa_expand,llamatov,layout,low,attention,yes,yes,GQA key/value head expansion
k_vecmat_silu,llamatov_bpd,fused,medium,fused_matmul,yes,compiles,Fused vecmat + SiLU (BPD-generated)
k_vecmat_gelu,llamatov_bpd,fused,medium,fused_matmul,yes,compiles,Fused vecmat + GELU (BPD-generated)
